#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 B -5.912 -5.962 -0.335 -0.348
#MJD Mag Err
50077.381400 -5.956 0.013
50078.515613 -5.615 0.069
50083.485405 -6.011 0.018
50086.480208 -5.986 0.03
50088.326250 -6.011 0.018
50089.320174 -5.991 0.026
50091.352442 -5.792 0.16
50091.397766 -5.975 0.021
50093.512593 -5.636 0.039
50095.346123 -5.583 0.031
50099.458773 -6.071 0.046
50105.323831 -5.98 0.033
50107.329479 -6.016 0.014
50108.356007 -5.883 0.022
50109.362998 -5.694 0.025
50123.307986 -5.957 0.029
50125.517789 -6.129 0.082
50126.339803 -5.834 0.026
50127.343715 -5.977 0.027
50128.352269 -6.024 0.03
50131.314109 -6.008 0.023
50132.249456 -6.004 0.027
50134.240949 -5.976 0.039
50135.300590 -6.058 0.083
50138.397245 -5.67 0.042
50141.267280 -5.61 0.043
50143.336204 -5.934 0.036
50145.292014 -5.875 0.073
50151.274560 -5.979 0.028
50153.498495 -5.705 0.107
50155.336852 -5.595 0.044
50157.245428 -5.717 0.037
50159.314051 -5.984 0.044
50160.455382 -5.951 0.036
50161.319803 -6.029 0.028
50163.446620 -5.973 0.188
50163.467535 -5.835 0.086
50166.276088 -4.789 1.938
50168.422315 -5.452 0.06
50172.299282 -5.999 0.165
